"id";"name";"compilation_root";"dlc_root";"console";"original_console";"completion";"ownership";"achievements";"achievement_total";"rating";"multi_rating";"now_playing";"note";"multi_note";"review";"multi_comp_local";"multi_coop_local";"multi_comp_LAN";"multi_coop_LAN";"multi_comp_online";"multi_coop_online"
33;"Banjo-Kazooie: Nuts & Bolts";0;0;38;0;4;0;59;60;5;0;0;"";"";"";2;0;0;0;0;0
34;"L.O.G.'s Lost Challenges";0;1;38;0;4;0;0;0;2;0;0;"";"";"";0;0;0;0;0;0
35;"Batman: Arkham Asylum";0;0;38;0;4;0;47;47;5;0;0;"";"";"";0;0;0;0;0;0
36;"Batman: Arkham City";0;0;38;0;4;0;65;70;5;0;0;"";"";"";0;0;0;0;0;0
37;"Harley Quinn's Revenge";0;1;38;0;3;0;0;0;3;0;0;"";"";"";0;0;0;0;0;0
38;"Bioshock";0;0;38;0;3;0;39;50;5;0;0;"";"";"";0;0;0;0;0;0
39;"Bioshock 2";0;0;38;0;3;0;49;68;5;0;0;"";"";"";0;0;0;0;0;0
40;"Minerva's Den";0;1;38;0;3;0;0;0;5;0;0;"";"";"";0;0;0;0;0;0
41;"BrUtal Legend";0;0;38;0;3;0;34;59;5;0;0;"";"";"";0;0;0;0;0;0
42;"Bulletstorm";0;0;38;0;3;0;29;60;5;0;0;"";"";"";0;0;0;0;0;0
43;"Call of Duty 4: Modern Warfare";0;0;38;0;3;0;31;37;4;0;0;"";"";"";4;0;0;0;0;0
44;"Call of Duty: Modern Warfare 2";0;0;38;0;3;0;39;50;5;0;0;"";"";"";4;2;0;0;0;0
45;"Call of Duty: Modern Warfare 3";0;0;38;0;3;0;19;76;4;0;0;"";"";"";4;2;0;0;0;0
46;"Dark Void";0;0;38;0;3;0;35;47;3;0;0;"";"";"";0;0;0;0;0;0
47;"Dead Rising";0;0;38;0;3;0;21;50;3;0;0;"";"";"";0;0;0;0;0;0
48;"The Elder Scrolls IV: Oblivion";0;0;38;0;3;0;50;60;4;0;0;"";"";"";0;0;0;0;0;0
49;"Fable III";0;0;38;0;3;0;25;60;2;0;0;"";"";"";0;2;0;0;0;0
50;"Fallout 3";0;0;38;0;3;0;63;72;5;0;0;"";"";"";0;0;0;0;0;0
51;"Broken Steel";0;1;38;0;3;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
52;"Mothership Zeta";0;1;38;0;3;0;0;0;3;0;0;"";"";"";0;0;0;0;0;0
53;"Operation: Anchorage";0;1;38;0;3;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
54;"The Pitt";0;1;38;0;4;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
55;"Point Lookout";0;1;38;0;3;0;0;0;5;0;0;"";"";"";0;0;0;0;0;0
56;"Far Cry 2";0;0;38;0;3;0;33;48;4;0;0;"";"";"";0;0;0;0;0;0
57;"Gears of War";0;0;38;0;3;0;21;57;4;0;0;"";"";"";2;2;4;4;0;0
58;"Gears of War 2";0;0;38;0;3;0;56;79;5;0;0;"";"";"";2;2;4;4;0;0
59;"Road to Ruin";0;1;38;0;3;0;0;0;4;0;0;"";"";"";2;2;4;4;0;0
60;"Gears of War 3";0;0;38;0;3;0;27;82;4;0;0;"";"";"";2;2;4;4;0;0
61;"Grand Theft Auto IV";0;0;38;0;3;0;30;65;5;0;0;"";"";"";0;0;0;0;0;0
62;"Halo 3";0;0;38;0;4;0;78;79;5;0;0;"";"";"";4;2;8;4;0;0
63;"Halo 3: ODST";0;0;38;0;4;0;42;47;5;0;0;"";"";"";0;2;0;4;0;0
64;"Halo 3: Mythic";1;0;38;0;0;0;78;79;5;0;0;"";"";"";4;0;8;0;0;0
65;"Halo 4";0;0;38;0;3;0;35;57;5;0;0;"";"";"";4;2;8;4;0;0
66;"Halo Wars";0;0;38;0;3;0;47;58;5;0;0;"";"";"";0;0;2;2;0;0
67;"Halo: Combat Evolved Anniversary";0;0;38;0;4;0;37;44;4;0;0;"";"";"";0;2;0;0;0;0
68;"Halo: Reach";0;0;38;0;3;0;60;69;5;0;0;"";"";"";4;2;8;4;0;0
69;"Kameo: Elements of Power";0;0;38;0;3;0;16;50;3;0;0;"";"";"";0;2;0;0;0;0
70;"Left 4 Dead 2";0;0;38;0;3;0;45;60;5;0;0;"";"";"";2;2;4;4;0;0
71;"Mass Effect";0;0;38;0;3;0;12;49;3;0;0;"";"";"";0;0;0;0;0;0
72;"Mass Effect 2";0;0;38;0;3;0;44;51;4;0;0;"";"";"";0;0;0;0;0;0
73;"Mass Effect 3";0;0;38;0;3;0;36;68;4;0;0;"";"";"";0;0;0;0;0;0
74;"Metro 2033";0;0;38;0;3;0;29;48;4;0;0;"";"";"";0;0;0;0;0;0
75;"Mirror's Edge";0;0;38;0;3;0;22;50;4;0;0;"";"";"";0;0;0;0;0;0
76;"Mortal Kombat vs. DC Universe";0;0;38;0;3;0;18;50;4;0;0;"";"";"";2;0;0;0;0;0
77;"Prince of Persia (2008)";0;0;38;0;3;0;35;60;4;0;0;"";"";"";0;0;0;0;0;0
78;"Rayman Origins";0;0;38;0;1;0;1;36;0;0;0;"";"";"";0;4;0;0;0;0
79;"Red Dead Redemption";0;0;38;0;3;0;17;95;3;0;0;"";"";"";0;0;0;0;0;0
80;"Undead Nightmare";0;1;38;0;3;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
81;"Sega Superstars Tennis";0;0;38;0;0;0;7;45;3;0;0;"";"";"";4;2;0;0;0;0
82;"Singularity";0;0;38;0;3;0;18;50;4;0;0;"";"";"";0;0;0;0;0;0
83;"Sonic & Sega All-Stars Racing";0;0;38;0;3;0;16;50;4;0;0;"";"";"";4;0;0;0;0;0
84;"Sonic Generations";0;0;38;0;4;0;49;49;5;0;0;"";"";"";0;0;0;0;0;0
85;"Sonic the Hedgehog";1;0;38;19;3;0;0;0;3;0;0;"";"";"";0;0;0;0;0;0
86;"Viva PiNata: Trouble in Paradise";0;0;38;0;0;0;47;50;5;0;0;"";"";"";4;2;0;0;0;0
87;"Banjo-Kazooie";0;0;5;0;4;0;12;12;5;0;0;"";"";"";0;0;0;0;0;0
88;"Banjo-Tooie";0;0;5;0;4;0;12;12;5;0;0;"";"";"";4;0;0;0;0;0
89;"Bastion";0;0;5;0;3;0;10;12;4;0;0;"";"";"";0;0;0;0;0;0
90;"BattleBlock Theater";0;0;5;0;3;0;13;30;4;0;0;"";"";"";0;0;0;0;0;0
91;"Battlefield 1943";0;0;5;0;0;0;12;12;4;0;0;"";"";"";0;0;0;0;0;0
92;"Beyond Good and Evil HD";0;0;5;0;3;0;12;12;4;0;0;"";"";"";0;0;0;0;0;0
93;"Bionic Commando: Rearmed";0;0;5;0;4;0;9;12;5;0;0;"";"";"";4;2;0;0;0;0
94;"Carcassonne";0;0;5;0;0;0;2;12;3;0;0;"";"";"";4;0;0;0;0;0
95;"Dead Rising 2: Case Zero";0;0;5;0;3;0;11;12;4;0;0;"";"";"";0;0;0;0;0;0
96;"Death Tank";0;0;5;0;0;0;1;12;3;0;0;"";"";"";4;0;0;0;0;0
97;"Death Tank Zwei";1;0;5;0;0;0;0;0;1;0;0;"";"";"";4;0;0;0;0;0
98;"Defense Grid: The Awakening";0;0;5;0;3;0;7;22;3;0;0;"";"";"";0;0;0;0;0;0
99;"Doom";0;0;5;0;2;0;2;12;0;0;0;"";"";"";4;4;0;0;0;0
100;"Doritos Crash Course";0;0;5;0;3;0;5;15;3;0;0;"";"";"";4;0;0;0;0;0
101;"City Lights";0;1;5;0;3;0;0;0;3;0;0;"";"";"";4;0;0;0;0;0
102;"Dungeon Defenders";0;0;5;0;1;0;0;12;0;0;0;"";"";"";0;4;0;0;0;0
103;"Frogger: Hyper Arcade Edition";0;0;5;0;0;0;8;12;4;0;0;"";"";"";4;0;0;0;0;0
104;"From Dust";0;0;5;0;4;0;11;12;5;0;0;"";"";"";0;0;0;0;0;0
105;"Gatling Gears";0;0;5;0;3;0;5;12;3;0;0;"";"";"";0;2;0;0;0;0
106;"Geometry Wars 2: Retro Evolved";0;0;5;0;0;0;6;12;4;0;0;"";"";"";4;4;0;0;0;0
107;"Gotham City Imposters";0;0;5;0;0;0;6;12;5;0;0;"";"";"";0;0;0;0;0;0
108;"Grabbed by the Ghoulies";0;0;5;0;3;0;0;0;2;0;0;"";"";"";0;0;0;0;0;0
109;"Greed Corp";0;0;5;0;3;0;10;12;5;0;0;"";"";"";4;0;0;0;0;0
110;"Hydro Thunder Hurricane";0;0;5;0;1;0;0;15;0;0;0;"";"";"";4;0;0;0;0;0
111;"Insanely Twisted Shadow Planet";0;0;5;0;2;0;4;17;0;0;0;"";"";"";0;4;0;0;0;0
112;"Lara Croft and the Guardian of Light";0;0;5;0;1;0;0;12;0;0;0;"";"";"";0;2;0;0;0;0
113;"Lode Runner (2009)";0;0;5;0;2;0;1;15;3;0;0;"";"";"";4;2;0;0;0;0
114;"Marvel vs. Capcom 2: New Age of Heroes";0;0;5;0;4;0;0;12;2;0;0;"";"";"";2;0;0;0;0;0
115;"Monaco: What's Yours is Mine";0;0;5;0;2;0;1;12;0;0;0;"";"";"";0;4;0;0;0;0
116;"NBA Jam: On Fire Edition";0;0;5;0;2;0;2;12;3;0;0;"";"";"";4;0;0;0;0;0
117;"Pac-Man Championship Edition DX+";0;0;5;0;0;0;12;12;4;0;0;"";"";"";0;0;0;0;0;0
118;"Perfect Dark";0;0;5;0;3;0;18;20;5;0;0;"";"";"";4;2;0;0;0;0
119;"Shadow Complex";0;0;5;0;4;0;11;12;5;0;0;"";"";"";0;0;0;0;0;0
120;"Sonic Adventure";0;0;5;0;3;0;7;15;3;0;0;"";"";"";0;0;0;0;0;0
121;"Sonic CD";0;0;5;0;3;0;7;12;2;0;0;"";"";"";0;0;0;0;0;0
122;"Sonic the Hedgehog 4: Episode I";0;0;5;0;3;0;5;12;2;0;0;"";"";"";0;0;0;0;0;0
123;"Toy Soldiers";0;0;5;0;3;0;9;18;4;0;0;"";"";"";2;0;0;0;0;0
124;"Toy Soldiers: Cold War";0;0;5;0;3;0;11;26;4;0;0;"";"";"";2;0;0;0;0;0
125;"Trials HD";0;0;5;0;3;0;10;15;4;0;0;"";"";"";0;0;0;0;0;0
126;"Trials: Evolution";0;0;5;0;3;0;7;36;4;0;0;"";"";"";4;0;0;0;0;0
127;"Worms 2: Armageddon";0;0;5;0;0;0;0;25;3;0;0;"";"";"";4;0;0;0;0;0
128;"Worms: Ultimate Mayhem";0;0;5;0;3;0;7;21;5;0;0;"";"";"";4;0;0;0;0;0
129;"\'Splosion Man";0;0;5;0;3;0;7;12;2;0;0;"";"";"";0;4;0;0;0;0
130;"DLC Quest";0;0;6;0;4;0;0;0;3;0;0;"";"";"";0;0;0;0;0;0
131;"Blur";0;0;39;0;2;0;8;49;4;0;0;"";"";"";4;0;0;0;0;0
132;"Call of Duty: Black Ops";0;0;39;0;3;0;19;71;4;0;0;"";"";"";4;2;0;0;0;0
133;"Dark Souls";0;0;39;0;1;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
134;"DC Universe Online";0;0;39;0;0;0;0;24;2;0;0;"";"";"";0;0;0;0;0;0
135;"Demon's Souls";0;0;39;0;1;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
136;"Deus Ex: Human Revolution";0;0;39;0;2;0;35;50;5;0;0;"";"";"";0;0;0;0;0;0
137;"The Missing Link";0;1;39;0;1;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
138;"God of War Collection";0;0;39;0;0;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
139;"God of War";1;0;39;15;3;0;29;36;4;0;0;"";"";"";0;0;0;0;0;0
140;"God of War II";1;0;39;15;3;0;29;35;4;0;0;"";"";"";0;0;0;0;0;0
141;"God of War III";0;0;39;0;3;0;26;36;5;0;0;"";"";"";0;0;0;0;0;0
142;"Goldeneye 007: Reloaded";0;0;39;0;1;0;0;51;0;0;0;"";"";"";4;0;0;0;0;0
143;"Heavy Rain";0;0;39;0;3;0;27;57;5;0;0;"";"";"";0;0;0;0;0;0
144;"Heavy Rain Chronicles: Episode 1: The Taxidermist";0;1;39;0;4;0;0;0;3;0;0;"";"";"";0;0;0;0;0;0
145;"The Ico & Shadow of the Colossus Collection";0;0;39;0;0;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
146;"Ico";1;0;39;15;3;0;9;16;4;0;0;"";"";"";0;0;0;0;0;0
147;"Shadow of the Colossus";1;0;39;15;3;0;17;31;4;0;0;"";"";"";0;0;0;0;0;0
148;"inFamous";0;0;39;0;3;0;33;50;5;0;0;"";"";"";0;0;0;0;0;0
149;"Jak & Daxter Collection";0;0;39;0;0;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
150;"Jak & Daxter: The Precursor Legacy";1;0;39;15;3;0;37;39;5;0;0;"";"";"";0;0;0;0;0;0
151;"Jak II";1;0;39;15;3;0;38;41;3;0;0;"";"";"";0;0;0;0;0;0
152;"Jak 3";1;0;39;15;3;0;45;47;4;0;0;"";"";"";0;0;0;0;0;0
153;"Killzone 2";0;0;39;0;3;0;22;84;3;0;0;"";"";"";0;0;0;0;0;0
154;"L.A. Noire";0;0;39;0;3;0;26;61;4;0;0;"";"";"";0;0;0;0;0;0
155;"The Last of Us";0;1;39;0;3;0;6;50;4;0;0;"";"";"";0;0;0;0;0;0
156;"Left Behind";0;0;39;0;3;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
157;"LittleBigPlanet";0;0;39;0;3;0;35;70;4;0;0;"";"";"";0;4;0;0;0;0
158;"LittleBigPlanet Karting";0;0;39;0;1;0;3;45;0;0;0;"";"";"";4;0;0;0;0;0
159;"MAG";0;0;39;0;0;0;17;44;4;0;0;"";"";"";0;0;0;0;0;0
160;"Metal Gear Solid 4: Guns of the Patriots";0;0;39;0;3;0;0;0;5;0;0;"";"";"";0;0;0;0;0;0
161;"Metal Gear Solid HD Collection";0;0;39;0;2;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
162;"Metal Gear";1;0;39;-1;2;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
163;"Metal Gear 2: Solid Snake";1;0;39;-1;3;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
164;"Metal Gear Solid 2: Sons of Liberty";1;0;39;15;3;0;16;46;4;0;0;"";"";"";0;0;0;0;0;0
165;"Metal Gear Solid 3: Snake Eater";1;0;39;15;3;0;20;46;5;0;0;"";"";"";0;0;0;0;0;0
166;"Metal Gear Solid: Peace Walker";1;0;39;16;3;0;15;50;3;0;0;"";"";"";0;0;0;0;0;0
167;"Metro: Last Light";0;0;39;0;3;0;17;71;4;0;0;"";"";"";0;0;0;0;0;0
168;"Minecraft: PlayStation 3 Edition";0;0;39;0;0;0;7;51;5;0;0;"";"";"";4;4;0;0;0;0
169;"Mortal Kombat (2011)";0;0;39;0;4;0;33;51;5;0;0;"";"";"";4;2;0;0;0;0
170;"MotorStorm: Apocalypse";0;0;39;0;1;0;0;0;0;0;0;"";"";"";4;0;0;0;0;0
171;"PlayStation All-Stars Battle Royale";0;0;39;0;3;0;25;56;4;0;0;"";"";"";4;0;0;0;0;0
172;"Portal 2";0;0;39;0;3;0;19;51;5;0;0;"";"";"";0;2;0;0;0;0
173;"SSX (2012)";0;0;39;0;3;0;37;37;5;0;0;"";"";"";0;0;0;0;0;0
174;"Mt. Eddie";0;1;39;0;4;0;0;0;5;0;0;"";"";"";0;0;0;0;0;0
175;"Twisted Metal (2012)";0;0;39;0;3;0;14;40;5;0;0;"";"";"";4;2;0;0;0;0
176;"Uncharted 2: Among Thieves";0;0;39;0;3;0;25;71;3;0;0;"";"";"";0;0;0;0;0;0
177;"Uncharted 3: Drake's Deception";0;0;39;0;1;0;0;105;0;0;0;"";"";"";0;2;0;0;0;0
178;"Uncharted: Drake's Fortune";0;0;39;0;3;0;23;48;3;0;0;"";"";"";0;0;0;0;0;0
179;"Badland: Game of the Year Edition";0;0;8;0;2;0;7;43;0;0;0;"";"";"";4;0;0;0;0;0
180;"BlazeRush";0;0;8;0;1;0;0;21;0;0;0;"";"";"";4;0;0;0;0;0
181;"Bomberman Ultra";0;0;8;0;0;0;1;11;3;0;0;"";"";"";7;0;0;0;0;0
182;"Braid";0;0;8;0;3;0;11;12;3;0;0;"";"";"";0;0;0;0;0;0
183;"Castle Crashers";0;0;8;0;2;0;1;13;0;0;0;"";"";"";0;4;0;0;0;0
184;"Divekick";0;0;8;0;3;0;1;14;4;0;0;"";"";"";2;0;0;0;0;0
185;"Flower";0;0;8;0;3;0;3;14;3;0;0;"";"";"";0;0;0;0;0;0
186;"Geometry Wars 3: Dimensions Evolved";0;0;8;0;0;0;11;31;4;0;0;"";"";"";0;4;0;0;0;0
187;"Journey";0;0;8;0;3;0;7;14;5;0;0;"";"";"";0;0;0;0;0;0
188;"Mortal Kombat: Arcade Kollection";0;0;8;0;0;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
189;"Mortal Kombat";1;0;8;-2;3;0;9;12;2;0;0;"";"";"";2;0;0;0;0;0
190;"Mortal Kombat II";1;0;8;-2;3;0;9;12;2;0;0;"";"";"";2;0;0;0;0;0
191;"Ultimate Mortal Kombat 3";1;0;8;-2;3;0;9;12;3;0;0;"";"";"";2;0;0;0;0;0
192;"Scott Pilgrim vs. The World: The Game";0;0;8;0;2;0;1;19;0;0;0;"";"";"";0;4;0;0;0;0
193;"Sportsfriends";0;0;8;0;0;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
194;"BaraBariBall";1;0;8;0;0;0;2;14;4;0;0;"";"";"";4;0;0;0;0;0
195;"Hokra";1;0;8;0;0;0;0;0;4;0;0;"";"";"";4;0;0;0;0;0
196;"Johann Sebastian Joust";1;0;8;0;0;0;0;0;0;0;0;"";"";"";7;0;0;0;0;0
197;"Super Pole Riders";1;0;8;0;0;0;0;0;4;0;0;"";"";"";4;0;0;0;0;0
198;"Starwhal";0;0;8;0;0;0;0;23;5;0;0;"";"";"";4;0;0;0;0;0
199;"Super Motherload";0;0;8;0;3;0;4;9;3;0;0;"";"";"";0;4;0;0;0;0
200;"Super Street Fighter II Turbo HD Remix";0;0;8;0;3;0;0;0;3;0;0;"";"";"";2;0;0;0;0;0
201;"Supersonic Acrobatic Rocket-Powered Battle-Cars";0;0;8;0;2;0;0;14;4;0;0;"";"";"";4;0;0;0;0;0
202;"Tokyo Jungle";0;0;8;0;3;0;10;13;3;0;0;"";"";"";0;2;0;0;0;0
203;"Toybox Turbos";0;0;8;0;4;0;14;16;5;0;0;"";"";"";4;0;0;0;0;0
204;"Wipeout HD";0;0;8;0;3;0;14;51;3;0;0;"";"";"";2;0;0;0;0;0
205;"Fury";0;1;8;0;3;0;0;0;2;0;0;"";"";"";2;0;0;0;0;0
206;"Worms: Revolution";0;0;8;0;0;0;4;35;3;0;0;"";"";"";4;0;0;0;0;0
207;"Crash Bandicoot";0;0;9;17;3;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
208;"Crash Team Racing";0;0;9;17;3;0;0;0;5;0;0;"";"";"";4;0;0;0;0;0
209;"Metal Gear Solid";0;0;9;17;3;0;0;0;5;0;0;"";"";"";0;0;0;0;0;0
210;"Red Faction II";0;0;9;15;3;0;0;0;2;0;0;"";"";"";4;0;0;0;0;0
211;"Spyro the Dragon";0;0;9;17;4;0;0;0;3;0;0;"";"";"";0;0;0;0;0;0
212;"Toy Story 2: Buzz Lightyear to the Rescue";0;0;9;17;3;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
213;"Twisted Metal 2";0;0;9;17;3;0;0;0;2;0;0;"";"";"";2;2;0;0;0;0
214;"Animal Crossing: City Folk";0;0;54;0;0;0;0;0;3;0;0;"";"";"";0;0;0;0;0;0
215;"Boom Blox: Bash Party";0;0;54;0;0;0;0;0;4;0;0;"";"";"";4;4;0;0;0;0
216;"The Conduit";0;0;54;0;4;0;0;0;3;0;0;"";"";"";0;0;0;0;0;0
217;"Donkey Kong Country Returns";0;0;54;0;3;0;0;0;5;0;0;"";"";"";0;2;0;0;0;0
218;"Dragon Ball Z: Budokai Tenkaichi 2";0;0;54;0;4;0;0;0;3;0;0;"";"";"";2;0;0;0;0;0
219;"Elebits";0;0;54;0;3;0;0;0;4;0;0;"";"";"";4;0;0;0;0;0
220;"Excitebots: Trick Racing";0;0;54;0;3;0;0;0;4;0;0;"";"";"";2;0;0;0;0;0
221;"Godzilla Unleashed";0;0;54;0;4;0;0;0;4;0;0;"";"";"";4;0;0;0;0;0
222;"The Legend of Zelda: Skyward Sword";0;0;54;0;3;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
223;"The Legend of Zelda: Twilight Princess";0;0;54;0;3;0;0;0;5;0;0;"";"";"";0;0;0;0;0;0
224;"Lego Star Wars: The Complete Saga";0;0;54;0;3;0;0;0;4;0;0;"";"";"";0;2;0;0;0;0
225;"Let's Tap";0;0;54;0;0;0;0;0;3;0;0;"";"";"";4;0;0;0;0;0
226;"Link's Crossbow Training";0;0;54;0;1;0;0;0;0;0;0;"";"";"";4;0;0;0;0;0
227;"Mario & Sonic at the London 2012 Olympic Games";0;0;54;0;0;0;0;0;3;0;0;"";"";"";4;0;0;0;0;0
228;"Mario Kart Wii";0;0;54;0;4;0;0;0;4;0;0;"";"";"";4;0;0;0;0;0
229;"Mario Party 8";0;0;54;0;4;0;0;0;3;0;0;"";"";"";4;0;0;0;0;0
230;"Mario Party 9";0;0;54;0;3;0;0;0;5;0;0;"";"";"";4;0;0;0;0;0
231;"Mario Strikers: Charged";0;0;54;0;2;0;0;0;5;0;0;"";"";"";4;4;0;0;0;0
232;"Mario Super Sluggers";0;0;54;0;3;0;0;0;4;0;0;"";"";"";4;0;0;0;0;0
233;"Metroid Prime 3: Corruption";0;0;54;0;3;0;0;0;5;0;0;"";"";"";0;0;0;0;0;0
234;"Metroid: Other M";0;0;54;0;4;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
235;"New Super Mario Bros. Wii";0;0;54;0;3;0;0;0;5;0;0;"";"";"";4;4;0;0;0;0
236;"No More Heroes";0;0;54;0;3;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
237;"No More Heroes 2: Desperate Struggle";0;0;54;0;3;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
238;"Punch-Out!!";0;0;54;0;3;0;0;0;5;0;0;"";"";"";2;0;0;0;0;0
239;"Rayman Raving Rabbids: TV Party";0;0;54;0;1;0;0;0;0;0;0;"";"";"";4;0;0;0;0;0
240;"Red Steel 2";0;0;54;0;3;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
241;"Sonic and the Secret Rings";0;0;54;0;1;0;0;0;0;0;0;"";"";"";4;0;0;0;0;0
242;"Super Mario Galaxy";0;0;54;0;4;0;0;0;5;0;0;"";"";"";0;2;0;0;0;0
243;"Super Mario Galaxy 2";0;0;54;0;3;0;0;0;5;0;0;"";"";"";0;2;0;0;0;0
244;"Super Smash Bros. Brawl";0;0;54;0;3;0;0;0;5;0;0;"";"";"";4;2;0;0;0;0
245;"WarioWare: Smooth Moves";0;0;54;0;4;0;0;0;5;0;0;"";"";"";12;2;0;0;0;0
246;"Wii Party";0;0;54;0;0;0;0;0;4;0;0;"";"";"";4;4;0;0;0;0
247;"Wii Play";0;0;54;0;3;0;0;0;3;0;0;"";"";"";2;2;0;0;0;0
248;"Wii Sports";0;0;54;0;0;0;0;0;2;0;0;"";"";"";4;2;0;0;0;0
249;"Bomberman Blast";0;0;12;0;0;0;0;0;4;0;0;"";"";"";8;0;0;0;0;0
250;"Contra: Rebirth";0;0;12;0;3;0;0;0;3;0;0;"";"";"";0;2;0;0;0;0
251;"Doc Louis's Punch-Out";0;0;12;0;4;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
252;"Driift Mania";0;0;12;0;0;0;0;0;3;0;0;"";"";"";8;8;0;0;0;0
253;"Fluidity";0;0;12;0;3;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
254;"Mega Man 10";0;0;12;0;3;0;0;0;5;0;0;"";"";"";0;0;0;0;0;0
