id,name,compilation_root,dlc_root,console,original_console,completion,ownership,achievements,achievements_total,rating,multi_rating,now_playing,note,multi_note,review,multi_comp_local,multi_coop_local,multi_comp_LAN,multi_coop_LAN,multi_comp_online,multi_coop_online
,Harley Quinn's Revenge,,1,38,,3,,,,3,,,,,,,,,,,
,Bioshock,,,38,,3,,39,50,5,,,,,,,,,,,
,Bioshock 2,,,38,,3,,49,68,5,,,,,,,,,,,
,Minerva's Den,,1,38,,3,,,,5,,,,,,,,,,,
,BrUtal Legend,,,38,,3,,34,59,5,,,,,,,,,,,
,Bulletstorm,,,38,,3,,29,60,5,,,,,,,,,,,
,Call of Duty 4: Modern Warfare,,,38,,3,,31,37,4,,,,,,4,,,,,
,Call of Duty: Modern Warfare 2,,,38,,3,,39,50,5,,,,,,4,2,,,,
,Call of Duty: Modern Warfare 3,,,38,,3,,19,76,4,,,,,,4,2,,,,
,Dark Void,,,38,,3,,35,47,3,,,,,,,,,,,
,Dead Rising,,,38,,3,,21,50,3,,,,,,,,,,,
,The Elder Scrolls IV: Oblivion,,,38,,3,,50,60,4,,,,,,,,,,,
,Fable III,,,38,,3,,25,60,2,,,,,,,2,,,,
,Fallout 3,,,38,,3,,63,72,5,,,,,,,,,,,
,Broken Steel,,1,38,,3,,,,4,,,,,,,,,,,
,Mothership Zeta,,1,38,,3,,,,3,,,,,,,,,,,
,Operation: Anchorage,,1,38,,3,,,,4,,,,,,,,,,,
,The Pitt,,1,38,,4,,,,4,,,,,,,,,,,
,Point Lookout,,1,38,,3,,,,5,,,,,,,,,,,
,Far Cry 2,,,38,,3,,33,48,4,,,,,,,,,,,
,Gears of War,,,38,,3,,21,57,4,,,,,,2,2,4,4,,
,Gears of War 2,,,38,,3,,56,79,5,,,,,,2,2,4,4,,
,Road to Ruin,,1,38,,3,,,,4,,,,,,2,2,4,4,,
,Gears of War 3,,,38,,3,,27,82,4,,,,,,2,2,4,4,,
,Grand Theft Auto IV,,,38,,3,,30,65,5,,,,,,,,,,,
,Halo 3,,,38,,4,,78,79,5,,,,,,4,2,8,4,,
,Halo 3: ODST,,,38,,4,,42,47,5,,,,,,,2,,4,,
,Halo 3: Mythic,1,,38,,0,,78,79,5,,,,,,4,,8,,,
,Halo 4,,,38,,3,,35,57,5,,,,,,4,2,8,4,,
,Halo Wars,,,38,,3,,47,58,5,,,,,,,,2,2,,
,Halo: Combat Evolved Anniversary,,,38,,4,,37,44,4,,,,,,,2,,,,
,Halo: Reach,,,38,,3,,60,69,5,,,,,,4,2,8,4,,
,Kameo: Elements of Power,,,38,,3,,16,50,3,,,,,,,2,,,,
,Left 4 Dead 2,,,38,,3,,45,60,5,,,,,,2,2,4,4,,
,Mass Effect,,,38,,3,,12,49,3,,,,,,,,,,,
,Mass Effect 2,,,38,,3,,44,51,4,,,,,,,,,,,
,Mass Effect 3,,,38,,3,,36,68,4,,,,,,,,,,,
,Metro 2033,,,38,,3,,29,48,4,,,,,,,,,,,
,Mirror's Edge,,,38,,3,,22,50,4,,,,,,,,,,,
,Mortal Kombat vs. DC Universe,,,38,,3,,18,50,4,,,,,,2,,,,,
,Prince of Persia (2008),,,38,,3,,35,60,4,,,,,,,,,,,
,Rayman Origins,,,38,,1,,1,36,0,,,,,,,4,,,,
,Red Dead Redemption,,,38,,3,,17,95,3,,,,,,,,,,,
,Undead Nightmare,,1,38,,3,,,,4,,,,,,,,,,,
,Sega Superstars Tennis,,,38,,0,,7,45,3,,,,,,4,2,,,,
,Singularity,,,38,,3,,18,50,4,,,,,,,,,,,
,Sonic & Sega All-Stars Racing,,,38,,3,,16,50,4,,,,,,4,,,,,
,Sonic Generations,,,38,,4,,49,49,5,,,,,,,,,,,
,Sonic the Hedgehog,1,,38,19,3,,,,3,,,,,,,,,,,
,Viva PiNata: Trouble in Paradise,,,38,,0,,47,50,5,,,,,,4,2,,,,
,Banjo-Kazooie,,,5,,4,,12,12,5,,,,,,,,,,,
,Banjo-Tooie,,,5,,4,,12,12,5,,,,,,4,,,,,
,Bastion,,,5,,3,,10,12,4,,,,,,,,,,,
,BattleBlock Theater,,,5,,3,,13,30,4,,,,,,,,,,,
,Battlefield 1943,,,5,,0,,12,12,4,,,,,,,,,,,
,Beyond Good and Evil HD,,,5,,3,,12,12,4,,,,,,,,,,,
,Bionic Commando: Rearmed,,,5,,4,,9,12,5,,,,,,4,2,,,,
,Carcassonne,,,5,,0,,2,12,3,,,,,,4,,,,,
,Dead Rising 2: Case Zero,,,5,,3,,11,12,4,,,,,,,,,,,
,Death Tank,,,5,,0,,1,12,3,,,,,,4,,,,,
,Death Tank Zwei,1,,5,,0,,,,1,,,,,,4,,,,,
,Defense Grid: The Awakening,,,5,,3,,7,22,3,,,,,,,,,,,
,Doom,,,5,,2,,2,12,0,,,,,,4,4,,,,
,Doritos Crash Course,,,5,,3,,5,15,3,,,,,,4,,,,,
,City Lights,,1,5,,3,,,,3,,,,,,4,,,,,
,Dungeon Defenders,,,5,,1,,0,12,0,,,,,,,4,,,,
,Frogger: Hyper Arcade Edition,,,5,,0,,8,12,4,,,,,,4,,,,,
,From Dust,,,5,,4,,11,12,5,,,,,,,,,,,
,Gatling Gears,,,5,,3,,5,12,3,,,,,,,2,,,,
,Geometry Wars 2: Retro Evolved,,,5,,0,,6,12,4,,,,,,4,4,,,,
,Gotham City Imposters,,,5,,0,,6,12,5,,,,,,,,,,,
,Grabbed by the Ghoulies,,,5,,3,,,,2,,,,,,,,,,,
,Greed Corp,,,5,,3,,10,12,5,,,,,,4,,,,,
,Hydro Thunder Hurricane,,,5,,1,,0,15,0,,,,,,4,,,,,
,Insanely Twisted Shadow Planet,,,5,,2,,4,17,0,,,,,,,4,,,,
,Lara Croft and the Guardian of Light,,,5,,1,,0,12,0,,,,,,,2,,,,
,Lode Runner (2009),,,5,,2,,1,15,3,,,,,,4,2,,,,
,Marvel vs. Capcom 2: New Age of Heroes,,,5,,4,,0,12,2,,,,,,2,,,,,
,Monaco: What's Yours is Mine,,,5,,2,,1,12,0,,,,,,,4,,,,
,NBA Jam: On Fire Edition,,,5,,2,,2,12,3,,,,,,4,,,,,
,Pac-Man Championship Edition DX+,,,5,,0,,12,12,4,,,,,,,,,,,
,Perfect Dark,,,5,,3,,18,20,5,,,,,,4,2,,,,
,Shadow Complex,,,5,,4,,11,12,5,,,,,,,,,,,
,Sonic Adventure,,,5,,3,,7,15,3,,,,,,,,,,,
,Sonic CD,,,5,,3,,7,12,2,,,,,,,,,,,
,Sonic the Hedgehog 4: Episode I,,,5,,3,,5,12,2,,,,,,,,,,,
,Toy Soldiers,,,5,,3,,9,18,4,,,,,,2,,,,,
,Toy Soldiers: Cold War,,,5,,3,,11,26,4,,,,,,2,,,,,
,Trials HD,,,5,,3,,10,15,4,,,,,,,,,,,
,Trials: Evolution,,,5,,3,,7,36,4,,,,,,4,,,,,
,Worms 2: Armageddon,,,5,,0,,0,25,3,,,,,,4,,,,,
,Worms: Ultimate Mayhem,,,5,,3,,7,21,5,,,,,,4,,,,,
,\'Splosion Man,,,5,,3,,7,12,2,,,,,,,4,,,,
,DLC Quest,,,6,,4,,,,3,,,,,,,,,,,
,Blur,,,39,,2,,8,49,4,,,,,,4,,,,,
,Call of Duty: Black Ops,,,39,,3,,19,71,4,,,,,,4,2,,,,
,Dark Souls,,,39,,1,,,,0,,,,,,,,,,,
,DC Universe Online,,,39,,0,,0,24,2,,,,,,,,,,,
,Demon's Souls,,,39,,1,,,,0,,,,,,,,,,,
,Deus Ex: Human Revolution,,,39,,2,,35,50,5,,,,,,,,,,,
,The Missing Link,,1,39,,1,,,,0,,,,,,,,,,,
,God of War Collection,,,39,,,,,,,,,,,,,,,,,
,God of War,1,,39,15,3,,29,36,4,,,,,,,,,,,
,God of War II,1,,39,15,3,,29,35,4,,,,,,,,,,,
,God of War III,,,39,,3,,26,36,5,,,,,,,,,,,
,Goldeneye 007: Reloaded,,,39,,1,,0,51,0,,,,,,4,,,,,
,Heavy Rain,,,39,,3,,27,57,5,,,,,,,,,,,
,Heavy Rain Chronicles: Episode 1: The Taxidermist,,1,39,,4,,,,3,,,,,,,,,,,
,The Ico & Shadow of the Colossus Collection,,,39,,,,,,,,,,,,,,,,,
,Ico,1,,39,15,3,,9,16,4,,,,,,,,,,,
,Shadow of the Colossus,1,,39,15,3,,17,31,4,,,,,,,,,,,
,inFamous,,,39,,3,,33,50,5,,,,,,,,,,,
,Jak & Daxter Collection,,,39,,,,,,,,,,,,,,,,,
,Jak & Daxter: The Precursor Legacy,1,,39,15,3,,37,39,5,,,,,,,,,,,
,Jak II,1,,39,15,3,,38,41,3,,,,,,,,,,,
,Jak 3,1,,39,15,3,,45,47,4,,,,,,,,,,,
,Killzone 2,,,39,,3,,22,84,3,,,,,,,,,,,
,L.A. Noire,,,39,,3,,26,61,4,,,,,,,,,,,
,The Last of Us,,1,39,,3,,6,50,4,,,,,,,,,,,
,Left Behind,,,39,,3,,,,4,,,,,,,,,,,
,LittleBigPlanet,,,39,,3,,35,70,4,,,,,,,4,,,,
,LittleBigPlanet Karting,,,39,,1,,3,45,0,,,,,,4,,,,,
,MAG,,,39,,0,,17,44,4,,,,,,,,,,,
,Metal Gear Solid 4: Guns of the Patriots,,,39,,3,,,,5,,,,,,,,,,,
,Metal Gear Solid HD Collection,,,39,,2,,,,,,,,,,,,,,,
,Metal Gear,1,,39,-1,2,,,,0,,,,,,,,,,,
,Metal Gear 2: Solid Snake,1,,39,-1,3,,,,0,,,,,,,,,,,
,Metal Gear Solid 2: Sons of Liberty,1,,39,15,3,,16,46,4,,,,,,,,,,,
,Metal Gear Solid 3: Snake Eater,1,,39,15,3,,20,46,5,,,,,,,,,,,
,Metal Gear Solid: Peace Walker,1,,39,16,3,,15,50,3,,,,,,,,,,,
,Metro: Last Light,,,39,,3,,17,71,4,,,,,,,,,,,
,Minecraft: PlayStation 3 Edition,,,39,,0,,7,51,5,,,,,,4,4,,,,
,Mortal Kombat (2011),,,39,,4,,33,51,5,,,,,,4,2,,,,
,MotorStorm: Apocalypse,,,39,,1,,,,0,,,,,,4,,,,,
,PlayStation All-Stars Battle Royale,,,39,,3,,25,56,4,,,,,,4,,,,,
,Portal 2,,,39,,3,,19,51,5,,,,,,,2,,,,
,SSX (2012),,,39,,3,,37,37,5,,,,,,,,,,,
,Mt. Eddie,,1,39,,4,,,,5,,,,,,,,,,,
,Twisted Metal (2012),,,39,,3,,14,40,5,,,,,,4,2,,,,
,Uncharted 2: Among Thieves,,,39,,3,,25,71,3,,,,,,,,,,,
,Uncharted 3: Drake's Deception,,,39,,1,,0,105,0,,,,,,,2,,,,
,Uncharted: Drake's Fortune,,,39,,3,,23,48,3,,,,,,,,,,,
,Badland: Game of the Year Edition,,,8,,2,,7,43,0,,,,,,4,,,,,
,BlazeRush,,,8,,1,,0,21,0,,,,,,4,,,,,
,Bomberman Ultra,,,8,,0,,1,11,3,,,,,,7,,,,,
,Braid,,,8,,3,,11,12,3,,,,,,,,,,,
,Castle Crashers,,,8,,2,,1,13,0,,,,,,,4,,,,
,Divekick,,,8,,3,,1,14,4,,,,,,2,,,,,
,Flower,,,8,,3,,3,14,3,,,,,,,,,,,
,Geometry Wars 3: Dimensions Evolved,,,8,,,,11,31,4,,,,,,,4,,,,
,Journey,,,8,,3,,7,14,5,,,,,,,,,,,
,Mortal Kombat: Arcade Kollection,,,8,,,,,,,,,,,,,,,,,
,Mortal Kombat,1,,8,-2,3,,9,12,2,,,,,,2,,,,,
,Mortal Kombat II,1,,8,-2,3,,9,12,2,,,,,,2,,,,,
,Ultimate Mortal Kombat 3,1,,8,-2,3,,9,12,3,,,,,,2,,,,,
,Scott Pilgrim vs. The World: The Game,,,8,,2,,1,19,0,,,,,,,4,,,,
,Sportsfriends,,,8,,,,,,,,,,,,,,,,,
,BaraBariBall,1,,8,,0,,2,14,4,,,,,,4,,,,,
,Hokra,1,,8,,0,,,,4,,,,,,4,,,,,
,Johann Sebastian Joust,1,,8,,0,,,,0,,,,,,7,,,,,
,Super Pole Riders,1,,8,,0,,,,4,,,,,,4,,,,,
,Starwhal,,,8,,0,,0,23,5,,,,,,4,,,,,
,Super Motherload,,,8,,3,,4,9,3,,,,,,,4,,,,
,Super Street Fighter II Turbo HD Remix,,,8,,3,,,,3,,,,,,2,,,,,
,Supersonic Acrobatic Rocket-Powered Battle-Cars,,,8,,2,,0,14,4,,,,,,4,,,,,
,Tokyo Jungle,,,8,,3,,10,13,3,,,,,,,2,,,,
,Toybox Turbos,,,8,,4,,14,16,5,,,,,,4,,,,,
,Wipeout HD,,,8,,3,,14,51,3,,,,,,2,,,,,
,Fury,,1,8,,3,,,,2,,,,,,2,,,,,
,Worms: Revolution,,,8,,0,,4,35,3,,,,,,4,,,,,
,Crash Bandicoot,,,9,17,3,,,,4,,,,,,,,,,,
,Crash Team Racing,,,9,17,3,,,,5,,,,,,4,,,,,
,Metal Gear Solid,,,9,17,3,,,,5,,,,,,,,,,,
,Red Faction II,,,9,15,3,,,,2,,,,,,4,,,,,
,Spyro the Dragon,,,9,17,4,,,,3,,,,,,,,,,,
,Toy Story 2: Buzz Lightyear to the Rescue,,,9,17,3,,,,4,,,,,,,,,,,
,Twisted Metal 2,,,9,17,3,,,,2,,,,,,2,2,,,,
,Animal Crossing: City Folk,,,54,,0,,,,3,,,,,,,,,,,
,Boom Blox: Bash Party,,,54,,0,,,,4,,,,,,4,4,,,,
,The Conduit,,,54,,4,,,,3,,,,,,,,,,,
,Donkey Kong Country Returns,,,54,,3,,,,5,,,,,,,2,,,,
,Dragon Ball Z: Budokai Tenkaichi 2,,,54,,4,,,,3,,,,,,2,,,,,
,Elebits,,,54,,3,,,,4,,,,,,4,,,,,
,Excitebots: Trick Racing,,,54,,3,,,,4,,,,,,2,,,,,
,Godzilla Unleashed,,,54,,4,,,,4,,,,,,4,,,,,
,The Legend of Zelda: Skyward Sword,,,54,,3,,,,4,,,,,,,,,,,
,The Legend of Zelda: Twilight Princess,,,54,,3,,,,5,,,,,,,,,,,
,Lego Star Wars: The Complete Saga,,,54,,3,,,,4,,,,,,,2,,,,
,Let's Tap,,,54,,0,,,,3,,,,,,4,,,,,
,Link's Crossbow Training,,,54,,1,,,,0,,,,,,4,,,,,
,Mario & Sonic at the London 2012 Olympic Games,,,54,,0,,,,3,,,,,,4,,,,,
,Mario Kart Wii,,,54,,4,,,,4,,,,,,4,,,,,
,Mario Party 8,,,54,,4,,,,3,,,,,,4,,,,,
,Mario Party 9,,,54,,3,,,,5,,,,,,4,,,,,
,Mario Strikers: Charged,,,54,,2,,,,5,,,,,,4,4,,,,
,Mario Super Sluggers,,,54,,3,,,,4,,,,,,4,,,,,
,Metroid Prime 3: Corruption,,,54,,3,,,,5,,,,,,,,,,,
,Metroid: Other M,,,54,,4,,,,4,,,,,,,,,,,
,New Super Mario Bros. Wii,,,54,,3,,,,5,,,,,,4,4,,,,
,No More Heroes,,,54,,3,,,,4,,,,,,,,,,,
,No More Heroes 2: Desperate Struggle,,,54,,3,,,,4,,,,,,,,,,,
,Punch-Out!!,,,54,,3,,,,5,,,,,,2,,,,,
,Rayman Raving Rabbids: TV Party,,,54,,1,,,,0,,,,,,4,,,,,
,Red Steel 2,,,54,,3,,,,4,,,,,,,,,,,
,Sonic and the Secret Rings,,,54,,1,,,,0,,,,,,4,,,,,
,Super Mario Galaxy,,,54,,4,,,,5,,,,,,,2,,,,
,Super Mario Galaxy 2,,,54,,3,,,,5,,,,,,,2,,,,
,Super Smash Bros. Brawl,,,54,,3,,,,5,,,,,,4,2,,,,
,WarioWare: Smooth Moves,,,54,,4,,,,5,,,,,,12,2,,,,
,Wii Party,,,54,,0,,,,4,,,,,,4,4,,,,
,Wii Play,,,54,,3,,,,3,,,,,,2,2,,,,
,Wii Sports,,,54,,0,,,,2,,,,,,4,2,,,,
,Bomberman Blast,,,12,,0,,,,4,,,,,,8,,,,,
,Contra: Rebirth,,,12,,3,,,,3,,,,,,,2,,,,
,Doc Louis's Punch-Out,,,12,,4,,,,4,,,,,,,,,,,
,Driift Mania,,,12,,0,,,,3,,,,,,8,8,,,,
,Fluidity,,,12,,3,,,,4,,,,,,,,,,,
,Mega Man 10,,,12,,3,,,,5,,,,,,,,,,,
,Mega Man 9,,,12,,3,,,,5,,,,,,,,,,,
,PokEmon Rumble,,,12,,2,,,,2,,,,,,,4,,,,
,WarioWare: D.I.Y. Showcase,,,12,,4,,,,4,,,,,,4,,,,,
,World of Goo,,,12,,3,,,,5,,,,,,,2,,,,
,Actraiser,,,13,20,4,,,,4,,,,,,,,,,,
,Battle Lode Runner,,,13,-3,0,,,,2,,,,,,5,,,,,
,F-Zero X,,,13,18,3,,,,4,,,,,,4,,,,,
,Kirby 64: The Crystal Shards,,,13,18,4,,,,5,,,,,,4,,,,,
,Kirby's Adventure,,,13,21,3,,,,2,,,,,,,,,,,
,The Legend of Zelda: Majora's Mask,,,13,18,3,,,,5,,,,,,,,,,,
,Mario Kart 64,,,13,18,3,,,,4,,,,,,4,2,,,,
,Mario Tennis,,,13,18,3,,,,4,,,,,,4,2,,,,
,Mega Man 2,,,13,21,4,,,,4,,,,,,,,,,,
,Paper Mario,,,13,18,3,,,,5,,,,,,,,,,,
,Punch-Out!!: Featuring Mr. Dream,,,13,21,2,,,,4,,,,,,,,,,,
,Star Fox 64,,,13,18,3,,,,5,,,,,,4,,,,,
,Super Castlevania IV,,,13,20,4,,,,3,,,,,,,,,,,
,Super Mario Kart,,,13,20,3,,,,2,,,,,,2,2,,,,
,Super Mario RPG: Legend of the Seven Stars,,,13,20,3,,,,3,,,,,,,,,,,
,Super Punch-Out!!,,,13,20,2,,,,4,,,,,,,,,,,
,Fuzion Frenzy,,,14,,0,,,,3,,,,,,4,,,,,
,Godzilla: Save the Earth,,,14,,3,,,,3,,,,,,4,,,,,
,Halo 2,,,14,,3,,,,4,,,,,,4,2,8,,,
,Halo: Combat Evolved,,,14,,3,,,,4,,,,,,4,2,8,,,
,Mortal Kombat: Armageddon,,,14,,3,,,,3,,,,,,2,,,,,
,Mortal Kombat: Deception,,,14,,3,,,,3,,,,,,2,,,,,
,Mortal Kombat,1,,14,-2,3,,,,2,,,,,,2,,,,,
,SSX 3,,,14,,3,,,,3,,,,,,2,,,,,
,Mega Man X7,,,15,,3,,,,2,,,,,,,,,,,
,Mega Man X8,,,15,,3,,,,3,,,,,,,,,,,
,Mortal Kombat: Shaolin Monks,,,15,,3,,,,3,,,,,,,2,,,,
,Animal Crossing,,,16,,0,,,,4,,,,,,,,,,,
,Beach Spikers: Virtua Beach Volleyball,,,16,,0,,,,3,,,,,,4,2,,,,
,Chibi-Robo!,,,16,,4,,,,4,,,,,,,,,,,
,F-Zero GX,,,16,,3,,,,5,,,,,,4,,,,,
,Final Fantasy: Crystal Chronicles,,,16,,2,,,,0,,,,,,,4,,,,
,Godzilla: Destroy All Monsters Melee,,,16,,3,,,,4,,,,,,4,,,,,
,Harvest Moon: A Wonderful Life,,,16,,0,,,,2,,,,,,,,,,,
,Kirby Air Ride,,,16,,0,,,,5,,,,,,4,,,,,
,The Legend of Zelda: Collector's Edition,,,16,,,,,,,,,,,,,,,,,
,The Legend of Zelda,1,,16,21,3,,,,3,,,,,,,,,,,
,The Legend of Zelda: Majora's Mask,1,,16,18,3,,,,5,,,,,,,,,,,
,The Legend of Zelda: Ocarina of Time,1,,16,18,3,,,,5,,,,,,,,,,,
,Zelda II: The Adventure of Link,1,,16,21,4,,,,3,,,,,,,,,,,
,The Legend of Zelda: Four Swords Adventures,,,16,,2,,,,0,,,,,,4,4,,,,
,The Legend of Zelda: The Wind Waker,,,16,,3,,,,5,,,,,,,2,,,,
,Luigi's Mansion,,,16,,4,,,,5,,,,,,,,,,,
,Mario Kart: Double Dash!!,,,16,,4,,,,4,,,,,,4,2,,,,
,Mario Party 4,,,16,,3,,,,3,,,,,,4,,,,,
,Mario Party 5,,,16,,3,,,,4,,,,,,4,,,,,
,Mario Party 6,,,16,,3,,,,5,,,,,,4,,,,,
,Mario Party 7,,,16,,3,,,,3,,,,,,8,,,,,
,Mario Power Tennis,,,16,,3,,,,4,,,,,,4,2,,,,
,Mario Superstar Baseball,,,16,,3,,,,4,,,,,,4,,,,,
,Mega Man Anniversary Collection,,,16,,,,,,,,,,,,,,,,,
,Mega Man,1,,16,21,4,,,,3,,,,,,,,,,,
,Mega Man 2,1,,16,21,4,,,,4,,,,,,,,,,,
,Mega Man 3,1,,16,21,4,,,,4,,,,,,,,,,,
,Mega Man 4,1,,16,21,4,,,,4,,,,,,,,,,,
,Mega Man 5,1,,16,21,4,,,,4,,,,,,,,,,,
,Mega Man 6,1,,16,21,4,,,,4,,,,,,,,,,,
,Mega Man 7,1,,16,20,4,,,,5,,,,,,,,,,,
,Mega Man 8,1,,16,17,4,,,,3,,,,,,,,,,,
,Mega Man: The Power Battle,1,,16,-2,4,,,,3,,,,,,,2,,,,
,Mega Man: The Power Fighters,1,,16,-2,4,,,,3,,,,,,,2,,,,
,Mega Man X Collection,,,16,,,,,,,,,,,,,,,,,
,Mega Man X,1,,16,20,4,,,,5,,,,,,,,,,,
,Mega Man X2,1,,16,20,4,,,,5,,,,,,,,,,,
,Mega Man X3,1,,16,20,4,,,,5,,,,,,,,,,,
,Mega Man X4,1,,16,17,3,,,,4,,,,,,,,,,,
,Mega Man X5,1,,16,17,3,,,,2,,,,,,,,,,,
,Mega Man X6,1,,16,17,3,,,,1,,,,,,,,,,,
,Mega Man: Battle & Chase,1,,16,17,3,,,,4,,,,,,2,,,,,
,Metroid Prime,,,16,,3,,,,5,,,,,,,,,,,
,Metroid,1,,16,21,3,,,,3,,,,,,,,,,,
,Metroid Prime 2: Echoes,,,16,,3,,,,5,,,,,,4,,,,,
,Mortal Kombat: Deadly Alliance,,,16,,3,,,,3,,,,,,2,,,,,
,Odama,,,16,,4,,,,4,,,,,,,,,,,
,Pac-Man World 2,,,16,,3,,,,3,,,,,,,,,,,
,Pac-Attack,1,,16,19,0,,,,2,,,,,,2,,,,,
,Pac-Man,1,,16,-2,0,,,,3,,,,,,,,,,,
,Pac-Man Vs.,,,16,,0,,,,5,,,,,,4,,,,,
,Pikmin,,,16,,4,,,,5,,,,,,,,,,,
,Pikmin 2,,,16,,4,,,,5,,,,,,2,2,,,,
,Rampage: Total Destruction,,,16,,3,,,,3,,,,,,4,2,,,,
,Rampage,1,,16,-2,0,,,,3,,,,,,,3,,,,
,Rampage: World Tour,1,,16,-2,3,,,,5,,,,,,,3,,,,
,Shadow the Hedgehog,,,16,,3,,,,3,,,,,,2,,,,,
,Sonic Adventure 2: Battle,,,16,,3,,,,4,,,,,,2,,,,,
,Sonic Gems Collection,,,16,,,,,,,,,,,,,,,,,
,Sonic CD,1,,16,-5,3,,,,2,,,,,,,,,,,
,Sonic Drift 2,1,,16,-7,2,,,,2,,,,,,2,,,,,
,Sonic R,1,,16,-6,4,,,,2,,,,,,4,,,,,
,Sonic Spinball,1,,16,-7,2,,,,1,,,,,,,,,,,
,Sonic the Fighters,1,,16,-2,4,,,,2,,,,,,2,,,,,
,Sonic the Hedgehog 2 (8-bit),1,,16,-7,2,,,,2,,,,,,,,,,,
,Sonic the Hedgehog: Triple Trouble,1,,16,-7,2,,,,2,,,,,,,,,,,
,Tails Adventures,1,,16,-7,2,,,,2,,,,,,,,,,,
,Tails' Skypatrol,1,,16,-7,2,,,,1,,,,,,,,,,,
,Vectorman,1,,16,19,1,,,,0,,,,,,,,,,,
,Vectorman 2,1,,16,19,1,,,,0,,,,,,,,,,,
,Spyro: Enter the Dragonfly,,,16,,4,,,,2,,,,,,,,,,,
,Star Fox: Assault,,,16,,3,,,,4,,,,,,4,,,,,
,Super Mario Strikers,,,16,,3,,,,4,,,,,,4,4,,,,
,Super Mario Sunshine,,,16,,4,,,,5,,,,,,,,,,,
,Super Monkey Ball 2,,,16,,3,,,,4,,,,,,4,,,,,
,Super Smash Bros. Melee,,,16,,3,,,,5,,,,,,4,,,,,
,"WarioWare, Inc.: Mega Party Game$!",,,16,,3,,,,4,,,,,,4,,,,,
,Crash Bandicoot,,,17,,3,,,,3,,,,,,,,,,,
,Crash Bash,,,17,,3,,,,4,,,,,,4,2,,,,
,Frogger (1997),,,17,,1,,,,0,,,,,,4,,,,,
,Frogger 2: Swampy's Revenge,,,17,,1,,,,0,,,,,,4,,,,,
,International Track & Field,,,17,,1,,,,0,,,,,,4,,,,,
,Micro Machines V3,,,17,,1,,,,0,,,,,,8,,,,,
,Pong: The Next Level,,,17,,2,,,,0,,,,,,4,,,,,
,Banjo-Kazooie,,,18,,4,,,,5,,,,,,,,,,,
,Banjo-Tooie,,,18,,4,,,,5,,,,,,4,,,,,
,Bomberman 64,,,18,,1,,,,0,,,,,,4,,,,,
,Diddy Kong Racing,,,18,,3,,,,5,,,,,,4,,,,,
,Donkey Kong 64,,,18,,3,,,,4,,,,,,4,,,,,
